CLAVE_CASILLA;TOTAL_BOLETAS_SOBRANTES;TOTAL_PERSONAS_VOTARON;TOTAL_REP_PARTIDO_CI_VOTARON;TOTAL_VOTOS_SACADOS;PAN;PRI;PRD;PVEM;PT;UDC;MORENA;C_PAN_PRI_PRD;C_PAN_PRI;C_PAN_PRD;C_PRI_PRD;C_PVEM_UDC;NO_REGISTRADAS;NULOS;TOTAL_VOTOS_ASENTADO;TOTAL_VOTOS_CALCULADO;LISTA_NOMINAL;REPRESENTANTES_PP_CI
'050796C0200;184;387;3;390;70;187;2;6;39;11;57;9;4;0;0;1;0;4;390;390;558;16
'050797B0100;251;469;5;474;96;272;5;5;32;8;40;9;2;0;0;0;0;5;474;474;709;16
'050798B0100;259;487;3;490;80;259;2;7;40;10;62;17;7;1;SIN DATO;SIN DATO;SIN DATO;5;0;490;733;16
'050799B0100;236;451;5;456;48;211;2;7;60;10;85;14;1;0;0;2;0;16;456;456;676;16
'050800B0100;244;471;3;474;49;249;1;7;56;9;78;12;7;3;1;1;0;4;474;477;702;16
'050800C0100;258;457;6;0;42;202;3;9;82;13;86;7;3;0;1;2;1;9;460;460;702;16
'050800C0200;265;447;5;453;37;235;4;9;59;15;74;8;4;0;0;2;0;6;453;453;702;16
'050801B0100;233;431;3;434;39;214;3;9;62;16;75;7;1;0;1;0;0;7;434;434;651;16
'050801C0100;257;406;4;410;40;191;1;6;66;9;72;13;1;0;0;1;0;14;410;414;651;16
'050802B0100;224;364;2;366;12;165;3;12;44;12;98;10;SIN DATO;SIN DATO;SIN DATO;2;SIN DATO;8;366;366;574;16
'050803B0100;169;226;3;229;6;110;0;6;18;4;70;9;2;0;0;0;0;4;229;229;382;16
'050803C0100;138;259;203;259;12;120;0;1;47;0;66;5;3;0;0;0;0;5;259;259;381;16
'050804B0100;195;267;4;271;9;143;0;5;30;4;60;6;5;0;0;1;0;5;271;268;450;16
'050804C0100;169;296;5;296;12;142;2;5;33;6;82;8;1;0;2;0;0;2;296;295;449;16
'050805B0100;0;0;0;0;9;149;2;10;15;3;70;15;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;0;273;443;16
'050805C0100;184;274;1;275;9;139;2;6;34;4;70;2;2;SIN DATO;SIN DATO;SIN DATO;SIN DATO;7;275;275;443;16
'050805S0100;ILEGIBLE;ILEGIBLE;ILEGIBLE;ILEGIBLE;ILEGIBLE;ILEGIBLE;ILEGIBLE;ILEGIBLE;ILEGIBLE;ILEGIBLE;ILEGIBLE;ILEGIBLE;ILEGIBLE;ILEGIBLE;ILEGIBLE;ILEGIBLE;ILEGIBLE;ILEGIBLE;ILEGIBLE;0;0;16
'050806B0100;211;326;4;330;43;180;3;5;35;7;45;8;2;0;0;0;0;2;330;330;525;16
'050807B0100;223;290;4;0;15;133;2;6;39;5;75;5;10;0;1;1;0;2;294;294;502;16
'050807C0100;234;281;4;283;14;135;3;6;34;11;70;3;2;0;0;0;0;4;285;282;501;16
'050808B0100;0;0;0;267;22;134;0;6;32;7;53;7;0;0;0;0;1;5;267;267;393;16
'050808C0100;150;256;3;259;19;140;1;7;28;3;52;3;2;0;0;0;0;4;259;259;393;16
'050809B0100;394;2;0;0;28;184;1;15;41;10;100;6;3;0;0;2;0;6;396;396;665;16
'050810B0100;256;416;2;418;88;211;0;6;34;10;54;8;1;0;0;2;1;3;418;418;658;16
'050811B0100;196;290;4;297;42;161;1;3;35;6;29;14;2;0;0;1;0;3;297;297;477;16
'050812B0100;287;332;2;334;15;158;2;9;45;9;86;4;1;0;1;1;0;3;334;334;605;16
'050812C0100;286;329;6;332;7;139;2;17;47;4;104;7;1;0;0;0;0;4;332;332;605;16
'050813B0100;242;274;3;272;9;107;3;9;39;6;86;5;1;SIN DATO;SIN DATO;SIN DATO;SIN DATO;7;272;272;500;16
'050813C0100;0;0;3;0;8;107;4;16;44;2;87;8;1;SIN DATO;SIN DATO;SIN DATO;SIN DATO;10;277;287;499;16
'050814B0100;297;363;0;363;16;153;3;7;44;9;103;13;0;0;1;1;3;10;363;363;643;16
'050814C0100;0;0;0;373;14;167;8;13;37;7;109;13;3;0;0;SIN DATO;SIN DATO;2;373;373;642;16
'050814C0200;302;356;3;356;9;160;5;9;48;5;109;4;SIN DATO;SIN DATO;SIN DATO;0;2;4;356;355;642;16
'050815B0100;279;290;4;290;8;116;3;6;43;8;86;4;3;SIN DATO;SIN DATO;SIN DATO;SIN DATO;13;290;290;553;16
'050815C0100;239;0;3;329;7;152;6;7;30;5;103;8;4;SIN DATO;1;SIN DATO;SIN DATO;8;329;331;553;16
'050816B0100;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;701;16
'050816C0100;338;379;3;379;16;179;8;10;53;6;89;11;0;0;0;0;0;7;379;379;701;16
'050816C0200;339;377;1;378;14;149;15;14;56;7;111;5;3;0;1;0;0;3;378;378;701;16
'050816C0300;323;392;2;394;11;196;8;5;53;14;85;8;3;0;2;0;0;9;394;394;701;16
'050816C0400;343;371;3;374;13;155;6;13;65;9;94;6;3;SIN DATO;SIN DATO;SIN DATO;1;9;374;374;701;16
'050816C0500;342;373;2;376;12;138;11;8;73;12;94;12;1;0;1;1;0;13;376;376;701;16
'050817B0100;283;330;2;330;2;171;4;13;37;4;92;3;0;0;0;0;0;4;330;330;597;16
'050817C0100;296;317;0;317;4;156;3;14;37;6;85;2;4;SIN DATO;SIN DATO;1;SIN DATO;5;317;317;597;16
'050817C0200;261;349;2;352;7;180;4;7;36;3;103;2;2;0;0;0;0;8;352;352;597;16
'050817C0300;279;333;1;0;5;185;9;9;23;4;SIN DATO;5;0;2;0;0;SIN DATO;12;333;254;596;16
'050818B0100;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;559;16
'050818C0100;280;294;1;293;8;152;1;3;27;1;92;4;1;0;0;0;2;2;293;293;559;16
'050818C0200;0;0;0;0;3;147;4;7;51;6;70;3;3;0;0;0;0;7;301;301;559;16
'050819B0100;0;329;4;333;9;167;3;11;34;9;85;5;3;0;0;1;SIN DATO;6;333;333;586;16
'050819C0100;266;333;2;0;5;148;7;7;53;8;86;13;2;0;0;1;0;5;335;335;585;16
'050820B0100;307;369;2;371;12;196;4;6;48;6;85;5;1;1;1;0;0;6;371;371;662;16
'050820C0100;318;357;2;359;8;167;3;7;41;9;102;11;2;0;1;0;1;7;359;359;661;16
'050821B0100;202;264;5;264;14;135;2;1;35;5;68;151;149;16;137;6;0;4;10;723;450;16
'050821C0100;189;276;2;276;11;121;3;10;28;10;71;10;2;0;1;0;0;10;276;277;449;16
'050822B0100;188;259;4;259;9;131;1;6;28;5;76;2;2;0;0;0;0;195;454;455;442;16
'050822C0100;204;252;1;253;6;112;6;7;30;11;64;3;2;0;0;0;2;11;253;254;441;16
'050823B0100;230;231;4;257;13;130;1;7;23;0;63;3;4;1;1;2;0;9;257;257;470;16
'050823C0100;228;254;3;257;17;16;3;5;28;5;68;5;1;0;0;0;0;9;257;157;469;16
'050824B0100;287;384;2;384;11;203;2;5;30;6;110;7;0;1;0;1;0;8;384;384;685;16
'050825B0100;0;247;0;254;6;120;3;3;31;5;70;3;5;0;2;0;0;6;254;254;436;16
'050825C0100;189;259;4;263;13;127;2;11;34;5;63;2;3;0;1;0;0;2;263;263;436;16
'050826B0100;270;378;5;386;47;192;3;9;43;11;60;7;2;0;1;0;0;8;383;383;637;16
'050827B0100;333;420;0;420;60;176;0;11;56;8;76;22;0;0;0;SIN DATO;SIN DATO;11;420;420;738;16
'050828B0100;203;280;3;283;19;140;1;8;33;8;59;7;0;0;0;0;0;8;283;283;470;16
'050828C0100;203;279;4;283;16;140;3;5;37;7;61;4;5;0;0;0;0;5;283;283;470;16
'050829B0100;227;370;3;373;19;197;0;6;44;6;80;11;SIN DATO;SIN DATO;SIN DATO;1;SIN DATO;9;373;373;584;16
'050829C0100;220;363;5;0;27;187;2;8;43;9;87;7;0;0;0;0;0;9;388;379;584;16
'050829C0200;232;364;2;366;15;186;7;4;58;6;78;7;2;0;0;1;0;3;367;367;584;16
'050831B0100;331;377;0;377;27;199;1;20;46;7;63;7;1;0;0;0;0;4;0;375;681;16
'050831C0100;325;371;1;372;32;186;4;8;53;9;63;10;2;SIN DATO;SIN DATO;1;SIN DATO;4;372;372;681;16
'050831C0200;321;374;2;376;30;189;3;14;31;14;71;11;3;0;1;1;0;8;376;376;681;16
'050831C0300;304;391;2;393;26;191;2;17;41;17;78;8;1;0;1;4;1;6;393;393;681;16
'050832B0100;307;342;2;344;27;155;0;15;41;9;81;12;0;0;0;0;1;3;344;344;635;16
'050832C0100;270;377;2;372;23;180;2;7;43;11;91;10;5;0;0;0;0;6;378;378;634;16
'050832C0200;302;348;1;348;14;172;SIN DATO;12;41;10;72;7;6;SIN DATO;1;1;SIN DATO;12;348;348;634;16
'050832C0300;0;0;0;0;21;187;0;7;41;4;88;11;2;0;0;0;0;6;367;367;634;16
'050832C0400;300;350;0;350;29;156;6;10;40;10;77;7;5;1;0;0;0;9;350;350;634;16
'050833B0100;270;416;2;418;33;214;3;11;49;10;88;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;10;418;418;672;16
'050833C0100;279;407;2;409;41;175;1;13;53;12;83;12;1;1;0;0;0;17;409;409;672;16
'050834B0100;221;387;2;388;21;187;9;8;37;10;90;11;4;0;0;2;0;9;388;388;694;16
'050834C0100;359;350;0;351;14;156;4;10;45;10;91;11;1;0;1;0;0;8;351;351;694;16
'050834C0200;371;337;2;339;25;173;0;5;38;7;78;7;2;0;0;0;0;4;339;339;694;16
'050834C0300;354;352;3;355;21;182;3;11;37;6;77;5;5;0;0;1;0;7;355;355;693;16
'050834C0400;342;364;1;367;27;158;4;15;57;11;80;5;1;1;0;1;0;7;367;367;693;16
'050834C0500;356;350;1;353;9;167;3;8;59;16;77;6;3;0;0;0;1;4;353;353;693;16
'050835B0100;267;292;0;292;6;145;1;16;36;6;63;4;6;0;0;0;0;9;292;292;543;16
'050835C0100;274;283;2;286;11;153;2;2;ILEGIBLE;7;71;9;2;1;0;0;0;6;286;264;543;16
'050836B0100;284;313;0;313;15;163;1;5;40;5;69;3;2;0;1;0;0;7;313;311;581;16
'050836C0100;289;308;0;308;11;142;1;6;52;5;74;6;0;0;0;0;0;6;308;303;581;16
'050836C0200;277;319;0;319;12;133;3;17;35;8;90;14;0;0;0;0;0;7;319;319;580;16
'050837B0100;256;264;4;268;14;126;3;4;30;3;75;6;4;0;0;1;0;2;268;268;511;16
'050837C0100;268;256;2;258;16;98;2;4;38;5;79;4;6;0;0;1;0;5;258;258;510;16
'050838B0100;251;294;1;295;21;140;3;8;32;8;58;12;2;1;0;0;0;10;295;295;530;16
'050838C0100;239;285;3;310;21;138;3;7;30;7;84;4;0;0;0;0;0;0;310;294;529;16
'050839B0100;177;218;3;221;11;112;3;8;21;3;52;1;0;0;0;0;0;2;221;213;384;16
'050839C0100;172;225;3;228;17;101;0;7;30;4;59;5;3;0;0;0;0;2;228;228;384;16
'050840B0100;314;408;0;408;23;228;1;10;37;6;83;7;2;1;0;1;SIN DATO;9;408;408;706;16
'050841B0100;250;347;4;351;24;149;4;12;39;12;88;11;4;0;0;0;0;8;351;351;585;16
'050842B0100;283;298;3;301;30;141;1;9;39;6;58;6;1;0;0;1;0;9;301;301;568;16
'050843B0100;210;397;5;402;32;177;3;9;56;11;90;9;4;1;0;1;0;9;402;402;596;16
'050844B0100;171;326;5;331;15;160;1;9;47;12;71;8;1;0;0;1;0;6;331;331;487;16
'050845B0100;240;341;6;341;21;174;1;4;48;9;65;12;1;0;1;0;0;5;341;341;565;16
'050846B0100;261;328;3;331;38;153;3;6;31;6;76;13;0;0;0;0;0;5;331;331;576;16
'050847B0100;309;416;1;417;36;215;2;7;60;10;72;9;2;0;1;0;0;3;417;417;710;16
'050847C0100;322;402;1;403;51;190;2;4;54;10;68;10;2;0;0;1;2;9;403;403;709;16
'050848B0100;162;246;4;250;28;128;2;8;22;6;36;10;4;1;0;0;0;5;250;250;396;16
'050848C0100;170;238;3;241;40;113;0;6;24;4;39;4;4;0;0;3;0;4;241;241;395;16
'050849B0100;0;0;0;0;4;173;4;9;39;9;74;5;0;0;0;0;0;4;321;321;530;16
'050850B0100;284;396;1;0;21;178;4;12;47;7;110;14;6;0;0;1;0;0;400;400;666;16
'050850C0100;288;0;2;427;13;201;4;6;53;8;118;9;5;0;1;SIN DATO;SIN DATO;9;427;427;666;16
'050851B0100;213;307;2;309;15;137;2;9;45;5;78;8;4;0;0;0;0;6;309;309;506;16
'050851C0100;213;306;2;307;5;154;2;9;39;6;77;9;1;0;0;1;0;4;307;307;505;16
'050852B0100;0;0;0;340;7;175;9;5;34;6;75;8;3;1;0;0;0;17;340;340;648;16
'050852C0100;363;301;3;304;5;166;5;4;43;8;50;11;2;1;0;0;1;8;304;304;648;16
'050852C0200;227;336;3;336;4;183;5;2;35;6;65;5;4;0;1;0;0;24;336;334;647;16
'050852C0300;306;355;3;355;6;204;8;5;53;3;67;6;2;0;2;0;0;19;355;375;647;16
'050852C0400;350;313;2;313;3;177;6;4;38;5;57;11;3;1;2;0;0;6;313;313;647;16
'050852C0500;0;0;0;0;6;185;13;4;43;7;63;8;5;1;1;SIN DATO;SIN DATO;17;353;353;647;16
'050853B0100;265;313;2;315;8;173;1;5;41;3;66;4;5;2;0;0;0;7;315;315;564;16
'050853C0100;291;289;4;289;7;124;10;7;32;8;85;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;16;289;289;564;16
'050853C0200;548;301;4;278;6;134;5;SIN DATO;45;SIN DATO;78;4;SIN DATO;SIN DATO;4;12;SIN DATO;6;294;294;564;16
'050853C0300;288;289;3;0;6;134;6;6;48;6;72;6;2;0;1;0;SIN DATO;SIN DATO;0;287;564;16
'050854B0100;285;445;1;446;18;212;5;3;66;17;107;6;3;0;0;1;0;8;446;446;715;16
'050854C0100;271;456;3;459;16;222;2;10;69;9;120;7;1;SIN DATO;SIN DATO;SIN DATO;SIN DATO;3;459;459;715;16
'050855B0100;194;324;3;0;15;150;1;2;45;10;86;9;4;0;1;0;0;4;327;327;505;16
'050855C0100;160;357;3;360;35;151;2;7;43;7;95;8;6;0;0;2;0;4;360;360;505;16
'050856B0100;317;425;1;426;39;206;1;10;47;10;92;13;3;0;0;0;0;5;426;426;727;16
'050856C0100;309;433;0;433;19;206;3;6;69;12;83;12;6;0;1;3;0;13;433;433;726;16
'050857B0100;301;427;4;431;62;211;2;5;60;6;57;17;1;0;1;2;0;7;431;431;716;16
'050858B0100;338;208;5;213;24;109;4;6;22;2;36;8;0;0;0;0;0;2;213;213;535;16
'050859B0100;314;368;3;371;42;191;2;10;32;3;75;9;0;1;1;0;0;5;371;371;669;16
'050860B0100;165;225;2;227;14;114;4;4;32;3;40;3;4;0;1;2;0;6;227;227;376;16
'050860C0100;155;235;2;237;9;123;3;8;27;9;50;4;1;SIN DATO;SIN DATO;SIN DATO;1;2;237;237;376;16
'050861B0100;324;417;5;422;35;179;7;16;63;9;91;13;4;SIN DATO;SIN DATO;SIN DATO;1;4;422;422;730;16
'050862B0100;190;277;4;281;18;139;0;7;36;5;59;6;1;0;0;0;0;10;281;281;455;16
'050862C0100;211;259;1;259;17;119;1;7;39;6;54;5;2;0;0;2;0;7;259;259;454;16
'050863B0100;244;301;4;305;10;134;1;10;41;11;82;7;2;0;1;1;SIN DATO;SIN DATO;305;300;534;16
'050863C0100;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;533;16
'050864B0100;206;318;2;323;11;156;3;6;32;6;86;9;1;1;0;0;SIN DATO;12;323;323;512;16
'050864C0100;203;324;1;325;7;130;1;16;25;11;110;12;6;SIN DATO;SIN DATO;SIN DATO;SIN DATO;7;325;325;512;16
'050865B0100;229;319;2;319;17;146;0;5;47;9;82;5;0;0;0;0;0;6;317;317;534;16
'050865C0100;230;319;4;0;19;150;4;13;43;6;68;8;1;1;SIN DATO;SIN DATO;SIN DATO;SIN DATO;319;313;533;16
'050866B0100;204;370;2;390;39;190;1;4;60;8;68;13;1;SIN DATO;SIN DATO;1;SIN DATO;5;390;390;561;16
'050866C0100;182;391;5;370;28;179;1;11;45;15;76;7;4;0;0;0;1;3;370;370;560;16
'050867B0100;243;302;2;304;14;147;1;7;43;4;75;8;0;0;0;0;0;5;304;304;531;16
'050867C0100;245;0;2;301;20;133;2;5;44;7;74;9;0;0;0;2;SIN DATO;5;301;301;530;16
'050867C0200;250;292;4;296;16;151;2;9;37;8;59;7;1;0;0;0;1;5;296;296;530;16
'050868B0100;313;406;4;410;16;182;3;15;60;7;102;14;3;1;3;2;0;2;410;410;707;16
'050868C0100;324;396;3;399;25;200;2;11;44;9;82;11;1;1;1;1;0;11;399;399;707;16
'050868C0200;331;389;3;392;16;199;6;12;51;11;77;9;1;0;1;1;0;8;392;392;707;16
'050868C0300;319;404;2;395;23;187;5;12;54;13;90;10;1;0;0;0;0;9;395;404;707;16
'050868C0400;326;394;2;396;17;203;4;10;46;16;88;6;3;0;0;0;0;3;396;396;706;16
'050868C0500;335;384;3;387;17;189;4;10;47;11;91;8;2;1;0;3;0;4;387;387;706;16
'050868C0600;309;413;309;413;13;197;1;12;58;11;98;8;4;0;0;2;0;9;413;413;706;16
'050868C0700;335;384;3;387;16;197;4;8;30;10;104;10;0;0;0;1;0;7;387;387;706;16
'050869B0100;0;0;0;0;9;187;2;19;36;4;99;6;3;0;0;3;0;12;380;380;704;16
'050869C0100;369;372;4;376;11;179;3;15;55;4;81;14;5;0;0;0;2;7;376;376;704;16
'050869C0200;331;382;6;389;14;202;5;22;39;6;83;11;1;0;1;0;0;5;389;389;704;16
'050869C0300;377;340;3;343;7;156;7;11;45;6;90;11;2;0;0;1;0;7;343;343;704;16
'050869C0400;366;350;4;354;11;188;3;11;40;8;72;10;0;1;0;0;0;10;354;354;704;16
'050869C0500;351;366;1;368;3;204;4;12;49;8;74;7;1;0;0;2;0;4;368;368;704;16
'050869C0600;358;352;2;352;7;198;2;15;30;8;66;9;2;0;0;1;0;14;352;352;704;16
'050869C0700;360;360;0;0;17;164;6;21;34;8;91;6;4;0;0;1;0;8;360;360;704;16
'050869C0800;347;369;4;373;10;198;1;14;43;12;77;8;4;1;2;0;0;3;373;373;704;16
'050869C0900;366;345;3;348;5;169;0;19;51;4;76;6;5;0;1;2;0;10;348;348;703;16
'050869C1000;344;371;4;375;11;201;7;9;48;14;69;5;4;0;0;1;0;6;375;375;703;16
'050869C1100;368;339;3;349;6;275;6;11;43;7;87;6;0;0;0;0;1;7;349;449;703;16
'050869C1200;350;367;1;368;12;179;4;19;48;5;74;11;0;0;0;0;0;16;368;368;703;16
'050869C1300;346;373;0;373;8;194;2;17;42;9;72;13;1;0;0;0;0;15;373;373;703;16
'050869C1400;374;337;7;328;8;145;1;15;45;11;81;9;2;0;1;2;1;7;328;328;703;16
'050870B0100;214;277;3;280;20;134;0;19;27;7;60;6;2;0;1;0;0;4;280;280;478;16
'050870C0100;188;305;3;303;12;144;0;9;52;8;65;5;2;0;0;0;0;4;303;301;477;16
'050871B0100;228;302;2;0;33;135;2;8;39;11;59;4;2;0;0;1;0;10;302;304;514;16
'050871C0100;174;351;4;355;30;166;2;8;46;10;72;13;SIN DATO;SIN DATO;SIN DATO;3;SIN DATO;5;355;355;513;16
'050872B0100;257;431;2;433;29;211;2;14;59;8;91;11;2;0;0;2;0;4;433;433;674;16
'050872C0100;250;439;1;440;25;218;3;12;63;12;80;15;2;SIN DATO;1;1;SIN DATO;8;440;440;674;16
'050873B0100;259;275;6;0;9;133;0;12;35;11;63;6;1;0;0;1;2;6;279;279;524;16
'050873C0100;230;308;3;311;14;157;3;6;44;8;71;5;0;0;0;0;0;3;311;311;524;16
'050874B0100;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;577;16
'050875B0100;275;395;3;398;37;198;2;7;44;10;73;16;2;1;1;SIN DATO;SIN DATO;7;398;398;657;16
'050876B0100;209;285;5;289;13;127;1;3;37;5;77;14;4;0;0;1;0;7;289;289;483;16
'050876C0100;108;262;4;292;17;159;2;8;25;2;57;13;1;0;1;0;0;7;292;292;482;16
'050877B0100;208;201;3;204;11;94;1;2;26;5;55;3;0;0;0;2;0;5;204;204;396;16
'050877C0100;218;191;3;193;16;109;1;SIN DATO;18;4;39;SIN DATO;2;SIN DATO;SIN DATO;SIN DATO;1;4;194;194;396;16
'050878B0100;246;260;3;0;26;126;2;8;23;10;51;10;2;ILEGIBLE;ILEGIBLE;ILEGIBLE;ILEGIBLE;5;263;263;493;16
'050879B0100;352;385;2;387;23;155;9;18;47;9;102;8;2;1;0;3;0;9;387;386;723;16
'050880B0100;219;263;0;263;15;136;0;0;26;3;68;6;1;0;0;1;0;7;263;263;466;16
'050880C0100;209;269;4;269;16;149;2;4;25;5;57;5;3;2;1;0;0;3;269;272;465;16
'050881B0100;256;330;3;334;18;152;6;8;43;9;84;3;5;0;0;1;0;5;334;334;574;16
'050882B0100;277;469;2;0;36;274;0;10;60;8;70;8;3;0;0;0;0;11;480;480;745;16
'050883B0100;233;363;3;366;11;175;2;118;43;0;92;4;2;0;1;1;0;8;366;457;581;16
'050883C0100;272;0;3;326;4;175;0;7;37;5;79;4;2;SIN DATO;1;SIN DATO;SIN DATO;12;326;326;581;16
'050883C0200;242;354;3;353;8;165;3;10;49;4;99;0;0;1;0;0;0;14;353;353;580;16
'050884B0100;233;289;4;0;6;148;3;5;42;13;69;2;0;0;0;1;0;4;293;293;510;16
'050884C0100;227;254;4;298;7;123;2;9;54;8;82;8;0;0;0;0;0;5;298;298;509;16
'050885B0100;231;266;0;266;5;114;1;3;53;1;74;9;0;0;0;0;0;6;266;266;481;16
'050885C0100;222;273;2;275;4;136;2;8;45;5;59;9;1;1;0;1;0;4;275;275;481;16
'050886B0100;414;743;3;414;9;189;5;4;54;13;116;10;2;2;SIN DATO;1;SIN DATO;9;414;414;727;16
'050886C0100;630;418;4;431;12;182;2;13;66;7;110;11;1;1;SIN DATO;SIN DATO;SIN DATO;13;431;418;727;16
'050887B0100;291;347;3;352;11;179;2;13;35;7;81;8;5;0;1;1;1;8;352;352;625;16
'050887C0100;262;374;2;374;12;178;0;11;41;6;98;6;3;0;1;0;0;12;374;368;624;16
'050888B0100;301;375;4;379;11;191;5;6;40;4;98;9;3;0;1;0;1;10;379;379;664;16
'050888C0100;301;376;1;379;8;191;5;13;35;2;97;10;2;0;0;0;0;16;379;379;664;16
'050889B0100;253;340;1;341;8;191;2;5;34;5;74;10;2;SIN DATO;SIN DATO;2;SIN DATO;8;341;341;578;16
'050889C0100;245;345;3;348;9;171;4;9;41;7;83;9;3;0;0;1;0;11;348;348;577;16
'050890B0100;254;309;0;309;9;147;5;13;44;3;71;6;3;0;1;1;1;5;309;309;547;16
'050890C0100;261;299;2;301;9;140;6;9;34;1;73;14;4;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;301;290;546;16
'050891B0100;157;246;3;246;8;126;0;4;38;9;48;3;1;0;0;1;0;6;246;244;387;16
'050891C0100;158;243;2;245;17;114;1;6;36;6;53;4;1;1;2;0;0;4;0;245;387;16
'050892B0100;281;398;2;400;24;194;4;12;52;9;89;10;0;0;1;0;0;5;400;400;665;16
'050893B0100;181;241;4;245;28;127;2;1;18;1;53;9;2;0;0;0;0;4;245;245;410;16
'050893C0100;161;264;0;264;19;132;0;3;35;9;56;8;0;0;0;0;1;1;264;264;409;16
'050894B0100;273;410;0;0;21;215;4;18;29;8;97;9;5;0;1;0;0;3;410;410;667;16
'050895B0100;257;305;4;309;10;169;2;5;23;6;70;14;SIN DATO;SIN DATO;SIN DATO;0;1;9;309;309;552;16
'050895C0100;272;294;2;296;11;151;3;14;22;17;65;3;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;10;296;296;552;16
'050896B0100;199;286;4;290;20;136;3;15;30;2;62;11;3;0;1;1;0;6;290;290;473;16
'050896C0100;210;283;2;283;21;130;0;19;23;8;63;10;1;1;0;0;0;7;283;283;472;16
'050897B0100;253;355;4;359;29;177;3;12;35;4;79;11;2;0;0;0;0;7;359;359;596;16
'050897C0100;0;0;0;0;23;173;8;13;41;17;67;12;3;0;1;0;0;7;365;365;595;16
'050898B0100;163;266;3;269;31;120;2;4;36;5;56;8;3;0;0;0;0;4;269;269;416;16
'050898C0100;166;266;5;266;27;113;2;6;30;12;61;6;2;SIN DATO;1;SIN DATO;SIN DATO;5;266;265;416;16
'050899B0100;140;284;4;288;17;157;3;5;46;4;44;7;1;0;1;1;0;2;288;288;412;16
'050899C0100;146;278;3;281;19;141;0;3;37;10;54;6;3;0;1;0;0;7;281;281;411;16
'050900B0100;180;275;4;279;26;119;3;4;34;9;71;5;4;1;0;0;0;3;279;279;443;16
'050901B0100;203;340;2;342;23;177;2;10;45;7;63;6;2;0;0;1;0;6;342;342;529;16
'050902B0100;245;401;1;401;23;199;2;14;59;9;67;15;3;0;1;0;0;9;401;401;629;16
'050902C0100;238;403;2;406;36;196;2;11;53;8;70;17;2;0;0;3;0;8;406;406;628;16
'050903B0100;353;396;3;399;13;202;3;15;49;7;82;11;2;0;2;2;0;11;399;399;736;16
'050903C0100;388;2;0;0;13;171;3;25;55;12;100;5;5;0;1;1;0;15;415;406;736;16
'050904B0100;353;364;2;365;17;161;2;13;48;7;97;3;1;0;0;0;0;16;365;365;702;16
'050904C0100;374;343;0;343;11;167;2;13;40;7;89;6;1;0;1;0;0;6;343;343;701;16
'050904C0200;367;348;1;0;22;144;3;6;52;10;92;9;2;0;0;1;0;9;350;350;701;16
'050905B0100;351;366;1;366;12;163;5;13;42;14;97;7;3;0;1;2;0;7;366;366;702;16
'050905C0100;353;361;3;364;7;156;1;16;41;5;116;6;5;0;1;0;1;9;364;364;701;16
'050905C0200;373;344;0;344;14;157;1;19;40;15;76;6;2;0;1;2;0;11;344;344;701;16
'050905C0300;349;366;1;367;9;172;6;20;34;7;92;9;2;0;0;0;0;16;367;367;701;16
'050905C0400;0;0;0;0;13;161;3;14;36;12;47;2;4;2;1;0;1;9;365;305;701;16
'050905C0500;343;371;2;0;18;160;1;15;46;11;97;12;3;0;1;0;0;10;374;374;701;16
'050905C0600;352;364;1;0;8;154;2;8;48;13;98;15;3;0;0;0;0;5;354;354;701;16
'050905C0700;364;350;5;353;10;157;2;11;38;10;95;17;3;0;1;1;0;8;353;353;701;16
'050905C0800;376;341;0;0;12;142;2;13;56;9;83;11;3;0;1;1;SIN DATO;8;341;341;701;16
'050905C0900;375;339;3;342;12;150;4;16;43;8;97;4;1;0;0;0;1;6;342;342;701;16
'050906B0100;1;305;4;308;13;159;3;16;36;5;62;9;0;0;0;1;SIN DATO;1;308;305;595;16
'050906C0100;289;317;3;320;13;156;0;10;36;7;79;7;4;0;1;0;0;1;320;314;594;16
