CLAVE_CASILLA;TOTAL_BOLETAS_SOBRANTES;TOTAL_PERSONAS_VOTARON;TOTAL_REP_PARTIDO_CI_VOTARON;TOTAL_VOTOS_SACADOS;PAN;PRI;PRD;PVEM;PT;UDC;MORENA;C_PAN_PRI_PRD;C_PAN_PRI;C_PAN_PRD;C_PRI_PRD;C_PVEM_UDC;NO_REGISTRADAS;NULOS;TOTAL_VOTOS_ASENTADO;TOTAL_VOTOS_CALCULADO;LISTA_NOMINAL;REPRESENTANTES_PP_CI
'050546B0100;238;264;2;266;3;134;3;4;63;7;36;4;2;0;0;1;0;9;266;266;488;16
'050546C0100;225;277;2;279;3;129;4;8;76;5;42;2;1;SIN DATO;SIN DATO;SIN DATO;SIN DATO;9;279;279;488;16
'050547B0100;213;282;5;287;2;108;2;5;97;6;57;5;2;0;2;0;0;1;287;287;484;16
'050547C0100;194;305;3;305;6;143;SIN DATO;2;99;6;43;SIN DATO;1;SIN DATO;SIN DATO;1;SIN DATO;4;305;305;483;16
'050548B0100;296;350;2;344;5;131;11;5;96;11;59;2;5;0;0;1;0;18;344;344;624;16
'050548C0100;347;290;3;293;3;132;3;3;63;11;61;2;0;0;1;0;1;13;293;293;624;16
'050548C0200;0;0;0;0;7;131;7;6;68;9;57;2;0;0;0;0;0;11;296;298;623;16
'050549B0100;301;364;4;364;5;168;4;3;128;10;37;5;2;0;0;1;1;10;364;374;647;16
'050549C0100;295;367;0;367;5;138;3;8;136;3;54;2;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;10;367;359;646;16
'050549C0200;311;346;5;351;3;132;5;9;127;5;58;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;12;351;351;646;16
'050550B0100;275;343;2;345;9;158;2;2;100;8;52;3;1;0;0;1;0;9;345;345;604;16
'050550C0100;261;354;4;358;11;179;4;2;84;5;57;SIN DATO;1;SIN DATO;SIN DATO;SIN DATO;SIN DATO;15;358;358;603;16
'050551B0100;168;236;2;238;9;113;4;0;68;8;26;4;3;0;0;0;0;3;238;238;390;16
'050551C0100;152;251;2;251;5;133;2;SIN DATO;63;2;38;5;1;SIN DATO;SIN DATO;SIN DATO;SIN DATO;4;251;253;389;16
'050552B0100;226;300;2;0;2;120;4;8;78;13;63;6;0;0;0;SIN DATO;SIN DATO;8;0;302;512;16
'050552C0100;246;288;2;290;6;136;1;4;78;8;37;1;2;0;1;0;0;0;290;274;512;16
'050553B0100;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;0;468;16
'050553C0100;250;233;3;233;1;111;2;2;61;5;41;2;1;0;0;0;0;7;233;233;467;16
'050554B0100;251;297;5;297;6;129;7;1;95;6;41;3;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;9;297;297;474;16
'050554C0100;222;264;2;268;6;120;4;3;81;8;39;2;2;SIN DATO;SIN DATO;SIN DATO;SIN DATO;3;268;268;474;16
'050555B0100;253;408;2;410;15;165;5;5;153;5;51;4;0;0;0;0;0;7;410;410;647;16
'050556B0100;236;387;3;387;6;130;5;5;136;12;60;3;2;0;2;1;0;26;387;388;607;16
'050557B0100;0;0;0;0;5;180;7;7;161;6;72;2;0;0;1;0;SIN DATO;10;451;451;736;16
'050557C0100;335;417;0;0;6;158;3;4;147;6;83;0;1;0;1;0;SIN DATO;8;417;417;736;16
'050557C0200;327;424;2;0;4;175;3;2;161;13;51;6;SIN DATO;SIN DATO;SIN DATO;SIN DATO;9;9;0;433;735;16
'050557C0300;374;377;0;377;3;150;1;2;138;9;62;3;3;0;0;0;0;6;377;377;735;16
'050558B0100;313;422;0;0;6;166;3;9;147;10;74;7;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;19;441;441;738;16
'050558C0100;348;390;7;279;5;144;3;2;126;10;89;1;2;1;1;SIN DATO;SIN DATO;21;0;405;737;16
'050559B0100;230;306;5;312;3;146;4;6;86;12;48;4;0;0;0;0;0;3;312;312;528;16
'050559C0100;263;276;4;280;1;126;0;3;95;11;35;1;0;0;0;0;0;8;280;280;527;16
'050559C0200;268;275;8;275;5;131;2;5;78;4;40;2;1;0;1;0;0;6;275;275;527;16
'050560B0100;168;208;4;0;3;100;44;0;30;0;23;1;2;1;0;SIN DATO;SIN DATO;SIN DATO;0;204;360;16
